round,weight_ratio,action
290,0.015610389,valid
291,0.015610640,valid
292,0.015610886,valid
293,0.015611129,valid
294,0.015611368,valid
295,0.015611603,valid
296,0.015611834,valid
297,0.015612061,valid
298,0.015612285,valid
299,0.015612505,valid
300,0.015612721,valid
301,0.015612934,valid
302,0.015613144,valid
303,0.015613350,valid
304,0.015613553,valid
305,0.015613753,valid
306,0.015613949,valid
307,0.015614142,valid
308,0.015614333,valid
309,0.015614520,valid
310,0.015614704,valid
311,0.015614885,valid
312,0.015615063,valid
313,0.015615238,valid
314,0.015615411,valid
315,0.015615581,valid
316,0.015615748,valid
317,0.015615912,valid
318,0.015616073,valid
319,0.015616232,valid
320,0.015616389,valid
321,0.015616543,valid
322,0.015616694,valid
323,0.015616843,valid
324,0.015616990,valid
325,0.015617134,valid
326,0.015617276,valid
327,0.015617416,valid
328,0.015617554,valid
329,0.015617689,valid
330,0.015617822,valid
331,0.015617953,valid
332,0.015618082,valid
333,0.015618208,valid
334,0.015618333,valid
335,0.015618456,valid
336,0.015618576,valid
337,0.015618695,valid
338,0.015618812,valid
339,0.015618927,valid
340,0.015619040,valid
341,0.015619152,valid
342,0.015619261,valid
343,0.015619369,valid
344,0.015619475,valid
345,0.015619579,valid
346,0.015619682,valid
347,0.015619783,valid
348,0.015619882,valid
349,0.015619980,valid
350,0.015620077,valid
351,0.015620171,valid
352,0.015620264,valid
353,0.015620356,valid
354,0.015620446,valid
355,0.015620535,valid
356,0.015620622,valid
357,0.015620708,valid
358,0.015620793,valid
359,0.015620876,valid
360,0.015620958,valid
361,0.015621038,valid
362,0.015621118,valid
363,0.015621196,valid
364,0.015621272,valid
365,0.015621348,valid
366,0.015621422,valid
367,0.015621495,valid
368,0.015621567,valid
369,0.015621638,valid
370,0.015621708,valid
371,0.015621776,valid
372,0.015621844,valid
373,0.015621910,valid
374,0.015621975,valid
375,0.015622039,valid
376,0.015622103,valid
377,0.015622165,valid
378,0.015622226,valid
379,0.015622286,valid
380,0.015622345,valid
381,0.015622404,valid
382,0.015622461,valid
383,0.015622517,valid
384,0.015622573,valid
385,0.015622628,valid
386,0.015622681,valid
387,0.015622734,valid
388,0.015622786,valid
389,0.015622838,valid
390,0.015622888,valid
391,0.015622938,valid
392,0.015622986,valid
393,0.015623034,valid
394,0.015623082,valid
395,0.015623128,valid
396,0.015623174,valid
397,0.015623219,valid
398,0.015623263,valid
399,0.015623307,valid
400,0.015623350,valid
401,0.015623392,valid
402,0.015623433,valid
403,0.015623474,valid
404,0.015623514,valid
405,0.015623554,valid
406,0.015623593,valid
407,0.015623631,valid
408,0.015623669,valid
409,0.015623706,valid
410,0.015623742,valid
411,0.015623778,valid
412,0.015623813,valid
413,0.015623848,valid
414,0.015623882,valid
415,0.015623916,valid
416,0.015623949,valid
417,0.015623982,valid
418,0.015624014,valid
419,0.015624045,valid
420,0.015624076,valid
421,0.015624107,valid
422,0.015624137,valid
423,0.015624167,valid
424,0.015624196,valid
425,0.015624224,valid
426,0.015624253,valid
427,0.015624280,valid
428,0.015624308,valid
429,0.015624334,valid
430,0.015624361,valid
431,0.015624387,valid
432,0.015624412,valid
433,0.015624438,valid
434,0.015624462,valid
435,0.015624487,valid
436,0.015624511,valid
437,0.015624534,valid
438,0.015624557,valid
439,0.015624580,valid
440,0.015624603,valid
441,0.015624625,valid
442,0.015624647,valid
443,0.015624668,valid
444,0.015624689,valid
445,0.015624710,valid
446,0.015624730,valid
447,0.015624750,valid
448,0.015624770,valid
449,0.015624789,valid
450,0.015624809,valid
451,0.015624827,valid
452,0.015624846,valid
453,0.015624864,valid
454,0.015624882,valid
455,0.015624900,valid
456,0.015624917,valid
457,0.015624934,valid
458,0.015624951,valid
459,0.015624968,valid
460,0.015624984,valid
461,0.015625000,valid
462,0.015625016,valid
463,0.015625031,valid
464,0.015625046,valid
465,0.015625061,valid
466,0.015625076,valid
467,0.015625091,valid
468,0.015625105,valid
469,0.015625119,valid
470,0.015625133,valid
471,0.015625147,valid
472,0.015625160,valid
473,0.015625173,valid
474,0.015625186,valid
475,0.015625199,valid
476,0.015625211,valid
477,0.015625224,valid
478,0.015625236,valid
479,0.015625248,valid
480,0.015625260,valid
481,0.015625271,valid
482,0.015625283,valid
483,0.015625294,valid
484,0.015625305,valid
485,0.015625316,valid
486,0.015625327,valid
487,0.015625337,valid
488,0.015625347,valid
489,0.015625358,valid
490,0.015625368,valid
491,0.015625378,valid
492,0.015625387,valid
493,0.015625397,valid
494,0.015625406,valid
495,0.015625415,valid
496,0.015625425,valid
497,0.015625434,valid
498,0.015625442,valid
499,0.015625451,valid
500,0.015625460,valid
