seed,round,honest_c
100,1,0.5063200000000001
100,2,0.5130428800000001
100,3,0.5200109939199999
100,4,0.5271145780172798
100,5,0.5007588491164159
100,6,0.5083433395305532
100,7,0.5159274884980645
100,8,0.5234749983620953
100,9,0.5309610431643018
100,10,0.5383688178168728
100,11,0.5456871226720429
100,12,0.5529086728674584
100,13,0.5600289150122965
100,14,0.5670451990096022
100,15,0.5739561984717001
100,16,0.5807615051485293
100,17,0.5874613451628161
100,18,0.5940563805078753
100,19,0.6005475702271142
100,20,0.606936073368636
100,21,0.6132231811803466
100,22,0.6194102697713874
100,23,0.6254987670979932
100,24,0.6314901299744893
100,25,0.6373858280999423
100,26,0.6431873329938746
100,27,0.6110279663441809
100,28,0.6172512935831456
100,29,0.6233751151761456
100,30,0.5922063594173383
100,31,0.5987309472698923
100,32,0.6051511748358357
100,33,0.6114687019440457
100,34,0.6176851648468491
100,35,0.5868009066045067
100,36,0.5934120655925703
100,37,0.5999174539887042
100,38,0.6063187617368155
100,39,0.6126176524573778
100,40,0.6188157636539058
100,41,0.6249147069805353
100,42,0.6309160685504113
100,43,0.6368214092707001
100,44,0.604980338807165
100,45,0.6113006518582169
100,46,0.617519840358862
100,47,0.6236395221643838
100,48,0.6296612892856382
100,49,0.6355867082901873
100,50,0.6414173207007275
100,51,0.6471546433897443
100,52,0.6528001689696682
100,53,0.6583553661780657
100,54,0.663821680257555
100,55,0.6692005333302709
100,56,0.6744933247667722
100,57,0.6797014315493539
100,58,0.6848262086297594
100,59,0.6505848981982714
100,60,0.6561755398167357
100,61,0.6616767311724133
100,62,0.6670899034685767
100,63,0.6724164650095246
100,64,0.6776578015668839
100,65,0.682815276740072
100,66,0.6878902323110114
100,67,0.6928839885931819
100,68,0.6977978447750935
100,69,0.7026330792582736
100,70,0.7073909499898485
100,71,0.712072694789806
100,72,0.7166795316730259
100,73,0.721212659166157
100,74,0.7256732566194282
100,75,0.730062484513468
100,76,0.7343814847612182
100,77,0.7386313810050145
100,78,0.7428132789089175
100,79,0.7469282664463628
100,80,0.7509774141832127
100,81,0.7549617755562754
100,82,0.7588823871473711
100,83,0.7627402689530102
100,84,0.7665364246497599
100,85,0.7702718418553622
100,86,0.7739474923856755
100,87,0.7775643325075041
100,88,0.7811233031873837
100,89,0.7846253303363853
100,90,0.7880713250510029
100,91,0.7914621838501864
100,92,0.7947987889085834
100,93,0.7980820082860461
100,94,0.8013126961534691
100,95,0.8044916930150137
100,96,0.8076198259267734
100,97,0.8106979087119452
100,98,0.8137267421725539
100,99,0.8167071142977932
100,100,0.8196398004690286
100,101,0.822525563661524
100,102,0.8253651546429397
100,103,0.8281593121686527
100,104,0.8309087631739545
100,105,0.833614222963171
100,106,0.8362763953957602
100,107,0.8388959730694282
100,108,0.8414736375003173
100,109,0.8440100593003124
100,110,0.8465058983515071
100,111,0.8041806034339316
100,112,0.8073137137789889
100,113,0.810396694358525
100,114,0.8134303472487886
100,115,0.816415461692808
100,116,0.819352814305723
100,117,0.8222431692768314
100,118,0.8250872785684022
100,119,0.827885882111308
100,120,0.830639707997527
100,121,0.8333494726695664
100,122,0.8360158811068533
100,123,0.8386396270091436
100,124,0.7967076456586867
100,125,0.7999603233281475
100,126,0.8031609581548972
100,127,0.8063103828244188
100,128,0.8094094166992282
100,129,0.8124588660320404
100,130,0.8154595241755279
100,131,0.8184121717887193
100,132,0.8213175770401
100,133,0.8241764958074583
100,134,0.7829676710170853
100,135,0.743819287466231
100,136,0.7479181788667717
100,137,0.751951488004903
100,138,0.7559202641968247
100,139,0.7598255399696756
100,140,0.7636683313301608
100,141,0.7674496380288783
100,142,0.7711704438204163
100,143,0.7748317167192894
100,144,0.778434409251781
100,145,0.7819794587037523
100,146,0.7854677873644924
100,147,0.7889003027666603
100,148,0.7922778979223941
100,149,0.7956014515556356
100,150,0.7988718283307457
100,151,0.8020898790774537
100,152,0.8052564410122145
100,153,0.8083723379560188
100,154,0.8114383805487225
100,155,0.8144553664599432
100,156,0.8174240805965841
100,157,0.8203452953070387
100,158,0.823219770582126
100,159,0.8260482542528121
100,160,0.8288314821847671
100,161,0.8315701784698109
100,162,0.8342650556142936
100,163,0.836916814724465
100,164,0.8395261456888736
100,165,0.8420937273578517
100,166,0.8446202277201259
100,167,0.847106304076604
100,168,0.8495526032113784
100,169,0.8519597615599963
100,170,0.8543284053750362
100,171,0.8566591508890358
100,172,0.8589526044748114
100,173,0.8612093628032144
100,174,0.8634300129983629
100,175,0.865615132790389
100,176,0.8677652906657428
100,177,0.8698810460150911
100,178,0.8719629492788495
100,179,0.874011542090388
100,180,0.8760273574169417
100,181,0.8780109196982707
100,182,0.8799627449830985
100,183,0.8818833410633686
100,184,0.8837732076063547
100,185,0.8856328362846531
100,186,0.8874627109040988
100,187,0.8892633075296329
100,188,0.8910350946091589
100,189,0.8927785330954124
100,190,0.8944940765658856
100,191,0.8961821713408318
100,192,0.8978432565993785
100,193,0.8994777644937884
100,194,0.9010861202618876
100,195,0.9026687423376977
100,196,0.9042260424602944
100,197,0.9057584257809298
100,198,0.9072662909684347
100,199,0.9087500303129399
100,200,0.9102100298279329
101,1,0.5063200000000001
101,2,0.5130428800000001
