seed,round,honest_r_eff,attacker_r_eff
44,44,0.675772,0.01
44,45,0.641983,0.01
44,46,0.647711,0.01
44,47,0.653348,0.01
44,48,0.658894,0.01
44,49,0.664352,0.01
44,50,0.669722,0.01
44,51,0.675007,0.01
44,52,0.680207,0.01
44,53,0.646196,0.01
44,54,0.651857,0.01
44,55,0.657427,0.01
44,56,0.662909,0.01
44,57,0.668302,0.01
44,58,0.673609,0.01
44,59,0.639929,0.01
44,60,0.64569,0.01
44,61,0.651359,0.01
44,62,0.656937,0.01
44,63,0.662426,0.01
44,64,0.667827,0.01
44,65,0.673142,0.01
44,66,0.678372,0.01
44,67,0.683518,0.01
44,68,0.688582,0.01
44,69,0.693564,0.01
44,70,0.698467,0.01
44,71,0.703292,0.01
44,72,0.708039,0.01
44,73,0.71271,0.01
44,74,0.717307,0.01
44,75,0.72183,0.01
44,76,0.726281,0.01
44,77,0.73066,0.01
44,78,0.73497,0.01
44,79,0.73921,0.01
44,80,0.743383,0.01
44,81,0.747489,0.01
44,82,0.751529,0.01
44,83,0.755505,0.01
44,84,0.759416,0.01
44,85,0.763266,0.01
44,86,0.767054,0.01
44,87,0.770781,0.01
44,88,0.774448,0.01
44,89,0.778057,0.01
44,90,0.739154,0.01
44,91,0.743328,0.01
44,92,0.747434,0.01
44,93,0.751476,0.01
44,94,0.755452,0.01
44,95,0.759365,0.01
44,96,0.763215,0.01
44,97,0.767003,0.01
44,98,0.770731,0.01
44,99,0.7744,0.01
44,100,0.778009,0.01
45,1,0.50632,0.25
45,2,0.513043,0.125
45,3,0.520011,0.0625
45,4,0.49401,0.03125
45,5,0.50153,0.015625
45,6,0.509102,0.01
45,7,0.516674,0.01
45,8,0.52421,0.01
45,9,0.531684,0.01
45,10,0.53908,0.01
45,11,0.546387,0.01
45,12,0.553598,0.01
45,13,0.560707,0.01
45,14,0.567712,0.01
45,15,0.574613,0.01
45,16,0.581407,0.01
45,17,0.588097,0.01
45,18,0.594682,0.01
45,19,0.601163,0.01
45,20,0.607542,0.01
45,21,0.613819,0.01
45,22,0.619997,0.01
45,23,0.626076,0.01
45,24,0.632058,0.01
45,25,0.637944,0.01
45,26,0.643737,0.01
45,27,0.649437,0.01
45,28,0.655046,0.01
45,29,0.660565,0.01
45,30,0.665996,0.01
45,31,0.67134,0.01
45,32,0.676598,0.01
45,33,0.681773,0.01
45,34,0.686864,0.01
45,35,0.691875,0.01
45,36,0.696805,0.01
45,37,0.701656,0.01
45,38,0.706429,0.01
45,39,0.711126,0.01
45,40,0.67557,0.01
45,41,0.680761,0.01
45,42,0.685869,0.01
45,43,0.690895,0.01
45,44,0.69584,0.01
45,45,0.700707,0.01
45,46,0.705496,0.01
45,47,0.710208,0.01
45,48,0.714844,0.01
45,49,0.719407,0.01
45,50,0.723896,0.01
45,51,0.728314,0.01
45,52,0.732661,0.01
45,53,0.696028,0.01
45,54,0.700892,0.01
45,55,0.705677,0.01
45,56,0.710386,0.01
45,57,0.674867,0.01
45,58,0.680069,0.01
45,59,0.685188,0.01
45,60,0.690225,0.01
45,61,0.695182,0.01
45,62,0.700059,0.01
45,63,0.704858,0.01
45,64,0.70958,0.01
45,65,0.714227,0.01
45,66,0.718799,0.01
45,67,0.723298,0.01
45,68,0.727726,0.01
45,69,0.732082,0.01
45,70,0.736369,0.01
45,71,0.740587,0.01
45,72,0.744737,0.01
45,73,0.748822,0.01
45,74,0.75284,0.01
45,75,0.756795,0.01
45,76,0.760686,0.01
45,77,0.764515,0.01
45,78,0.768283,0.01
45,79,0.77199,0.01
45,80,0.775639,0.01
45,81,0.779228,0.01
45,82,0.782761,0.01
45,83,0.786237,0.01
45,84,0.789657,0.01
45,85,0.793022,0.01
45,86,0.796334,0.01
45,87,0.799593,0.01
45,88,0.802799,0.01
45,89,0.805954,0.01
45,90,0.809059,0.01
45,91,0.812114,0.01
45,92,0.81512,0.01
45,93,0.818078,0.01
45,94,0.820989,0.01
45,95,0.823853,0.01
45,96,0.826672,0.01
45,97,0.829445,0.01
45,98,0.832174,0.01
45,99,0.834859,0.01
45,100,0.837501,0.01
46,1,0.50632,0.25
46,2,0.513043,0.125
46,3,0.520011,0.0625
46,4,0.49401,0.03125
46,5,0.50153,0.015625
46,6,0.509102,0.01
46,7,0.516674,0.01
46,8,0.52421,0.01
46,9,0.531684,0.01
46,10,0.53908,0.01
46,11,0.512126,0.01
46,12,0.48652,0.01
46,13,0.494668,0.01
46,14,0.502706,0.01
46,15,0.510629,0.01
46,16,0.518436,0.01
46,17,0.526125,0.01
46,18,0.533695,0.01
46,19,0.541148,0.01
46,20,0.548484,0.01
46,21,0.52106,0.01
46,22,0.528719,0.01
46,23,0.536257,0.01
46,24,0.543675,0.01
46,25,0.550975,0.01
46,26,0.523426,0.01
46,27,0.53105,0.01
46,28,0.538553,0.01
46,29,0.545935,0.01
46,30,0.5532,0.01
46,31,0.560349,0.01
46,32,0.567383,0.01
46,33,0.539014,0.01
46,34,0.546389,0.01
46,35,0.553647,0.01
46,36,0.560789,0.01
46,37,0.567816,0.01
46,38,0.574731,0.01
46,39,0.581535,0.01
46,40,0.588231,0.01
46,41,0.594819,0.01
46,42,0.601302,0.01
46,43,0.607681,0.01
46,44,0.613958,0.01
46,45,0.620135,0.01
46,46,0.626213,0.01
46,47,0.632193,0.01
46,48,0.638078,0.01
46,49,0.643869,0.01
46,50,0.649567,0.01
