seed,round,honest_r_can,attacker_r_can,attacker_r_old
100,174,0.86343,0.01,0.763771
100,175,0.865615,0.01,0.730265
100,176,0.867765,0.01,0.737559
100,177,0.869881,0.01,0.746274
100,178,0.871963,0.01,0.755734
100,179,0.874012,0.01,0.765482
100,180,0.876027,0.01,0.731824
100,181,0.878011,0.01,0.739009
100,182,0.879963,0.01,0.747624
100,183,0.881883,0.01,0.75699
100,184,0.883773,0.01,0.766651
100,185,0.885633,0.01,0.732888
100,186,0.887463,0.01,0.74
100,187,0.889263,0.01,0.748545
100,188,0.891035,0.01,0.757848
100,189,0.892779,0.01,0.767449
100,190,0.894494,0.01,0.733615
100,191,0.896182,0.01,0.740676
100,192,0.897843,0.01,0.749175
100,193,0.899478,0.01,0.758434
100,194,0.901086,0.01,0.767994
100,195,0.902669,0.01,0.734112
100,196,0.904226,0.01,0.741139
100,197,0.905758,0.01,0.749605
100,198,0.907266,0.01,0.758834
100,199,0.90875,0.01,0.768367
100,200,0.91021,0.01,0.734451
101,1,0.50632,0.50632,0.52079
101,2,0.513043,0.513043,0.54281
101,3,0.487391,0.487391,0.52525
101,4,0.494769,0.494769,0.544796
101,5,0.502277,0.247385,0.525038
101,6,0.509837,0.250721,0.543537
101,7,0.517397,0.254215,0.563592
101,8,0.524921,0.257802,0.584242
101,9,0.532384,0.261435,0.604849
101,10,0.539769,0.130718,0.584547
101,11,0.547065,0.132315,0.601443
101,12,0.554265,0.13398,0.619248
101,13,0.561363,0.135684,0.637273
101,14,0.568358,0.137406,0.655067
101,15,0.575248,0.068703,0.631094
101,16,0.582033,0.069452,0.645185
101,17,0.588712,0.070234,0.660251
101,18,0.595287,0.071036,0.675638
101,19,0.601759,0.071847,0.690916
101,20,0.608128,0.035923,0.663881
101,21,0.614396,0.036273,0.675767
101,22,0.620564,0.036639,0.688761
101,23,0.589536,0.034807,0.659796
101,24,0.596102,0.035213,0.670851
101,25,0.602564,0.017607,0.640639
101,26,0.608923,0.017784,0.651531
101,27,0.61518,0.017971,0.664381
101,28,0.621336,0.018164,0.67824
101,29,0.627395,0.018359,0.692466
101,30,0.633356,0.01,0.664482
101,31,0.639223,0.01,0.6759
101,32,0.644995,0.01,0.688586
101,33,0.650675,0.01,0.701833
101,34,0.656264,0.01,0.715171
101,35,0.661764,0.01,0.685859
101,36,0.667176,0.01,0.696161
101,37,0.672501,0.01,0.707697
101,38,0.677741,0.01,0.719798
101,39,0.682897,0.01,0.732014
101,40,0.687971,0.01,0.701318
101,41,0.692963,0.01,0.710608
101,42,0.697876,0.01,0.721185
101,43,0.70271,0.01,0.73238
101,44,0.707466,0.01,0.743744
101,45,0.712147,0.01,0.712021
101,46,0.716753,0.01,0.720579
101,47,0.721285,0.01,0.730471
101,48,0.725744,0.01,0.741026
101,49,0.730132,0.01,0.751794
101,50,0.73445,0.01,0.719356
101,51,0.738699,0.01,0.727407
101,52,0.74288,0.01,0.736826
101,53,0.705736,0.01,0.703583
101,54,0.710444,0.01,0.711604
101,55,0.715077,0.01,0.677762
101,56,0.719636,0.01,0.68608
101,57,0.724121,0.01,0.696534
101,58,0.728535,0.01,0.708162
101,59,0.732879,0.01,0.720313
101,60,0.737153,0.01,0.689845
101,61,0.741358,0.01,0.699504
101,62,0.745497,0.01,0.710552
101,63,0.749569,0.01,0.722275
101,64,0.753576,0.01,0.734194
101,65,0.757518,0.01,0.703186
