seed,round,honest,slash
42,1,0.5063199999999999,0.0
42,2,0.5130428800000001,0.0
42,3,0.5200109939199999,0.0
42,4,0.5271145780172798,0.0
42,5,0.5342773767690033,0.0
42,6,0.5414465811406994,0.1
42,7,0.5485857855224482,0.1
42,8,0.555670057730089,0.1
42,9,0.5626824881496075,0.1
42,10,0.5696117742794539,0.1
42,11,0.5411311855654811,0.1
42,12,0.5484256307546015,0.19
42,13,0.5556176015732455,0.19
42,14,0.5627044665855758,0.19
42,15,0.5696849177664582,0.19
42,16,0.5765585649345709,0.19
42,17,0.5833256519922811,0.19
42,18,0.589986858428069,0.271
42,19,0.596543160500585,0.271
42,20,0.6029957341977311,0.271
42,21,0.6093458874361762,0.271
42,22,0.6155950127271235,0.271
42,23,0.6217445541664379,0.271
42,24,0.6277959844498388,0.34390000000000004
42,25,0.6337507889036861,0.34390000000000004
42,26,0.6396104544247583,0.34390000000000004
42,27,0.6453764618544341,0.34390000000000004
42,28,0.6510502807550934,0.34390000000000004
42,29,0.6566333658662431,0.34390000000000004
42,30,0.623801697572931,0.34390000000000004
42,31,0.6298207931340258,0.34390000000000004
42,32,0.6357436063494647,0.34390000000000004
42,33,0.6415716707817815,0.34390000000000004
42,34,0.6473064975430088,0.34390000000000004
42,35,0.6529495750279358,0.34390000000000004
42,36,0.6585023688394195,0.40951000000000004
42,37,0.66396632184634,0.40951000000000004
42,38,0.6693428543326443,0.40951000000000004
42,39,0.6746333642084144,0.40951000000000004
42,40,0.679839227262644,0.40951000000000004
42,41,0.6849617974435368,0.40951000000000004
42,42,0.6900024071564069,0.46855900000000006
42,43,0.6555022867985867,0.46855900000000006
42,44,0.6610142491401858,0.46855900000000006
42,45,0.6664380204052065,0.46855900000000006
42,46,0.6717750115546078,0.46855900000000006
42,47,0.6770266110028531,0.46855900000000006
42,48,0.6821941849699907,0.46855900000000006
42,49,0.6872790778306993,0.46855900000000006
42,50,0.692282612459568,0.46855900000000006
42,51,0.6972060905721269,0.46855900000000006
42,52,0.702050793061311,0.46855900000000006
42,53,0.706817980329167,0.46855900000000006
42,54,0.7115088926136861,0.46855900000000006
42,55,0.7161247503107171,0.46855900000000006
42,56,0.7206667542909406,0.46855900000000006
42,57,0.7251360862119222,0.46855900000000006
42,58,0.729533908825277,0.46855900000000006
42,59,0.6930572133840132,0.46855900000000006
42,60,0.6979682979647908,0.46855900000000006
42,61,0.7028008051937994,0.46855900000000006
42,62,0.7075559923082103,0.46855900000000006
42,63,0.7122350964295372,0.46855900000000006
42,64,0.7168393348854455,0.46855900000000006
42,65,0.7213699055264248,0.46855900000000006
42,66,0.7258279870374046,0.46855900000000006
42,67,0.7302147392443878,0.46855900000000006
42,68,0.7345313034161849,0.46855900000000006
42,69,0.7387788025613211,0.46855900000000006
42,70,0.7429583417201966,0.46855900000000006
42,71,0.7470710082525729,0.46855900000000006
