seed,round,honest_r_eff,attacker_r_eff,total_slashed
42,154,0.835319,0.01,0.468559
42,155,0.833764,0.01,0.468559
42,156,0.836423,0.01,0.468559
42,157,0.839041,0.01,0.468559
42,158,0.841616,0.01,0.468559
42,159,0.835375,0.01,0.468559
42,160,0.833472,0.01,0.468559
42,161,0.836137,0.01,0.468559
42,162,0.8341,0.01,0.468559
42,163,0.836755,0.01,0.468559
42,164,0.830326,0.01,0.468559
42,165,0.82852,0.01,0.468559
42,166,0.831264,0.01,0.468559
42,167,0.829271,0.01,0.468559
42,168,0.832002,0.01,0.468559
42,169,0.83469,0.01,0.468559
42,170,0.832853,0.01,0.468559
42,171,0.835527,0.01,0.468559
42,172,0.833731,0.01,0.468559
42,173,0.831949,0.01,0.468559
42,174,0.830057,0.01,0.468559
42,175,0.828397,0.01,0.468559
42,176,0.831143,0.01,0.468559
42,177,0.833844,0.01,0.468559
42,178,0.836503,0.01,0.468559
42,179,0.839119,0.01,0.468559
42,180,0.83267,0.01,0.468559
42,181,0.835347,0.01,0.468559
42,182,0.837982,0.01,0.468559
42,183,0.836133,0.01,0.468559
42,184,0.834352,0.01,0.468559
42,185,0.837002,0.01,0.468559
42,186,0.83961,0.01,0.468559
42,187,0.842176,0.01,0.468559
42,188,0.844701,0.01,0.468559
42,189,0.847186,0.01,0.468559
42,190,0.84515,0.01,0.468559
42,191,0.847628,0.01,0.468559
42,192,0.850066,0.01,0.468559
42,193,0.852465,0.01,0.468559
42,194,0.850422,0.01,0.468559
42,195,0.852815,0.01,0.468559
42,196,0.85517,0.01,0.468559
42,197,0.857487,0.01,0.468559
42,198,0.859768,0.01,0.468559
42,199,0.857236,0.01,0.468559
42,200,0.85952,0.01,0.468559
43,1,0.50254,0.5056,0.0
43,2,0.508747,0.51183,0.0
43,3,0.512314,0.518465,0.0
43,4,0.519208,0.525346,0.0
43,5,0.526264,0.532365,0.0
43,6,0.533399,0.266182,0.1
43,7,0.540552,0.269062,0.1
43,8,0.544247,0.272154,0.1
43,9,0.547912,0.275378,0.1
43,10,0.551534,0.278677,0.1
43,11,0.558626,0.282011,0.1
43,12,0.5622,0.141005,0.19
43,13,0.565589,0.142339,0.19
43,14,0.572509,0.135222,0.19
43,15,0.575818,0.136771,0.19
43,16,0.582589,0.129932,0.19
43,17,0.589256,0.131652,0.19
43,18,0.59582,0.065826,0.271
43,19,0.602282,0.066544,0.271
43,20,0.604914,0.067318,0.271
43,21,0.603834,0.068129,0.271
43,22,0.606403,0.06896,0.271
43,23,0.605537,0.069802,0.271
43,24,0.611848,0.066312,0.271
43,25,0.618057,0.067212,0.271
43,26,0.620323,0.06811,0.271
43,27,0.626397,0.069001,0.271
43,28,0.632375,0.069884,0.271
43,29,0.634471,0.070756,0.271
43,30,0.640319,0.035378,0.3439
43,31,0.646074,0.03572,0.3439
43,32,0.647891,0.036084,0.3439
43,33,0.653525,0.036461,0.3439
43,34,0.655353,0.034638,0.3439
43,35,0.660868,0.035052,0.3439
43,36,0.666294,0.017526,0.40951
43,37,0.671633,0.017693,0.40951
43,38,0.676887,0.017873,0.40951
43,39,0.682057,0.018061,0.40951
43,40,0.687144,0.018254,0.40951
43,41,0.692149,0.018449,0.40951
43,42,0.693117,0.01,0.468559
43,43,0.698027,0.01,0.468559
43,44,0.698964,0.01,0.468559
43,45,0.703781,0.01,0.468559
43,46,0.704685,0.01,0.468559
43,47,0.705304,0.01,0.468559
43,48,0.710019,0.01,0.468559
43,49,0.714659,0.01,0.468559
43,50,0.715212,0.01,0.468559
43,51,0.715965,0.01,0.468559
43,52,0.72051,0.01,0.468559
43,53,0.720899,0.01,0.468559
43,54,0.725365,0.01,0.468559
43,55,0.729759,0.01,0.468559
43,56,0.734083,0.01,0.468559
43,57,0.734131,0.01,0.468559
43,58,0.734309,0.01,0.468559
43,59,0.73856,0.01,0.468559
43,60,0.742743,0.01,0.468559
43,61,0.742803,0.01,0.468559
43,62,0.746918,0.01,0.468559
43,63,0.750967,0.01,0.468559
43,64,0.754952,0.01,0.468559
43,65,0.758872,0.01,0.468559
43,66,0.750315,0.01,0.468559
43,67,0.75431,0.01,0.468559
43,68,0.758241,0.01,0.468559
43,69,0.758135,0.01,0.468559
43,70,0.762005,0.01,0.468559
43,71,0.757692,0.01,0.468559
43,72,0.757677,0.01,0.468559
43,73,0.761554,0.01,0.468559
43,74,0.765369,0.01,0.468559
43,75,0.764708,0.01,0.468559
43,76,0.768473,0.01,0.468559
43,77,0.772177,0.01,0.468559
43,78,0.771481,0.01,0.468559
43,79,0.770934,0.01,0.468559
43,80,0.774599,0.01,0.468559
43,81,0.76947,0.01,0.468559
43,82,0.773158,0.01,0.468559
43,83,0.772297,0.01,0.468559
43,84,0.771578,0.01,0.468559
43,85,0.775233,0.01,0.468559
43,86,0.778829,0.01,0.468559
43,87,0.777991,0.01,0.468559
43,88,0.777281,0.01,0.468559
43,89,0.776595,0.01,0.468559
43,90,0.780169,0.01,0.468559
43,91,0.783686,0.01,0.468559
43,92,0.782646,0.01,0.468559
43,93,0.777667,0.01,0.468559
43,94,0.781224,0.01,0.468559
43,95,0.78031,0.01,0.468559
43,96,0.775421,0.01,0.468559
43,97,0.774781,0.01,0.468559
43,98,0.778384,0.01,0.468559
43,99,0.78193,0.01,0.468559
43,100,0.785419,0.01,0.468559
43,101,0.788853,0.01,0.468559
43,102,0.792231,0.01,0.468559
43,103,0.795555,0.01,0.468559
43,104,0.798826,0.01,0.468559
43,105,0.797664,0.01,0.468559
43,106,0.800902,0.01,0.468559
43,107,0.804087,0.01,0.468559
43,108,0.798742,0.01,0.468559
43,109,0.797829,0.01,0.468559
43,110,0.801064,0.01,0.468559
43,111,0.804247,0.01,0.468559
43,112,0.807379,0.01,0.468559
43,113,0.806408,0.01,0.468559
43,114,0.809505,0.01,0.468559
43,115,0.812553,0.01,0.468559
43,116,0.815552,0.01,0.468559
43,117,0.818504,0.01,0.468559
43,118,0.821407,0.01,0.468559
43,119,0.815567,0.01,0.468559
43,120,0.809507,0.01,0.468559
43,121,0.812555,0.01,0.468559
43,122,0.815554,0.01,0.468559
43,123,0.818505,0.01,0.468559
43,124,0.816871,0.01,0.468559
43,125,0.815194,0.01,0.468559
43,126,0.818151,0.01,0.468559
43,127,0.816594,0.01,0.468559
43,128,0.819529,0.01,0.468559
43,129,0.822416,0.01,0.468559
43,130,0.825257,0.01,0.468559
43,131,0.828053,0.01,0.468559
43,132,0.830805,0.01,0.468559
43,133,0.824647,0.01,0.468559
43,134,0.827453,0.01,0.468559
43,135,0.830213,0.01,0.468559
43,136,0.83293,0.01,0.468559
43,137,0.835603,0.01,0.468559
43,138,0.838234,0.01,0.468559
43,139,0.836403,0.01,0.468559
43,140,0.834714,0.01,0.468559
43,141,0.837359,0.01,0.468559
43,142,0.830902,0.01,0.468559
43,143,0.833608,0.01,0.468559
43,144,0.831763,0.01,0.468559
43,145,0.829896,0.01,0.468559
43,146,0.828207,0.01,0.468559
43,147,0.826464,0.01,0.468559
43,148,0.829241,0.01,0.468559
43,149,0.831973,0.01,0.468559
43,150,0.83027,0.01,0.468559
43,151,0.828734,0.01,0.468559
43,152,0.831474,0.01,0.468559
43,153,0.829756,0.01,0.468559
43,154,0.83248,0.01,0.468559
43,155,0.835161,0.01,0.468559
43,156,0.837798,0.01,0.468559
43,157,0.840393,0.01,0.468559
43,158,0.838174,0.01,0.468559
43,159,0.840763,0.01,0.468559
43,160,0.83882,0.01,0.468559
43,161,0.841399,0.01,0.468559
43,162,0.843936,0.01,0.468559
43,163,0.846433,0.01,0.468559
43,164,0.84889,0.01,0.468559
43,165,0.851308,0.01,0.468559
43,166,0.853687,0.01,0.468559
43,167,0.856028,0.01,0.468559
43,168,0.858332,0.01,0.468559
43,169,0.860599,0.01,0.468559
43,170,0.862829,0.01,0.468559
43,171,0.860475,0.01,0.468559
43,172,0.85812,0.01,0.468559
43,173,0.85127,0.01,0.468559
43,174,0.853649,0.01,0.468559
43,175,0.851329,0.01,0.468559
43,176,0.853708,0.01,0.468559
43,177,0.8516,0.01,0.468559
43,178,0.853975,0.01,0.468559
43,179,0.851797,0.01,0.468559
43,180,0.854168,0.01,0.468559
43,181,0.856501,0.01,0.468559
43,182,0.854063,0.01,0.468559
43,183,0.851825,0.01,0.468559
43,184,0.854196,0.01,0.468559
43,185,0.856529,0.01,0.468559
43,186,0.858824,0.01,0.468559
43,187,0.861083,0.01,0.468559
43,188,0.863306,0.01,0.468559
43,189,0.861039,0.01,0.468559
43,190,0.858638,0.01,0.468559
43,191,0.8609,0.01,0.468559
43,192,0.863125,0.01,0.468559
43,193,0.865315,0.01,0.468559
43,194,0.86747,0.01,0.468559
43,195,0.869591,0.01,0.468559
43,196,0.871677,0.01,0.468559
43,197,0.87373,0.01,0.468559
43,198,0.866732,0.01,0.468559
43,199,0.864359,0.01,0.468559
43,200,0.866529,0.01,0.468559
44,1,0.5056,0.5056,0.0
44,2,0.51183,0.51183,0.0
44,3,0.518465,0.518465,0.0
44,4,0.525346,0.525346,0.0
44,5,0.532365,0.532365,0.0
44,6,0.539443,0.266182,0.1
44,7,0.539718,0.269062,0.1
44,8,0.54343,0.272154,0.1
44,9,0.54711,0.275378,0.1
44,10,0.550747,0.278677,0.1
44,11,0.554444,0.282011,0.1
44,12,0.561512,0.141005,0.19
44,13,0.568485,0.142339,0.19
44,14,0.57536,0.143774,0.19
44,15,0.582133,0.145272,0.19
44,16,0.588805,0.146807,0.19
44,17,0.58815,0.14836,0.19
44,18,0.594732,0.07418,0.271
44,19,0.601211,0.074789,0.271
44,20,0.603961,0.075449,0.271
44,21,0.610295,0.076142,0.271
44,22,0.616528,0.076854,0.271
44,23,0.622662,0.077575,0.271
44,24,0.628699,0.038788,0.3439
44,25,0.634639,0.039065,0.3439
44,26,0.640484,0.039368,0.3439
44,27,0.646236,0.039689,0.3439
44,28,0.648121,0.040019,0.3439
44,29,0.650038,0.040354,0.3439
44,30,0.655637,0.020177,0.40951
44,31,0.653693,0.020303,0.40951
44,32,0.65141,0.020443,0.40951
44,33,0.656987,0.02059,0.40951
44,34,0.658491,0.020743,0.40951
44,35,0.663955,0.020899,0.40951
44,36,0.669331,0.01,0.468559
44,37,0.666997,0.01,0.468559
44,38,0.664668,0.01,0.468559
44,39,0.666375,0.01,0.468559
44,40,0.671713,0.01,0.468559
44,41,0.676966,0.01,0.468559
44,42,0.682135,0.01,0.468559
44,43,0.68722,0.01,0.468559
44,44,0.692225,0.01,0.468559
44,45,0.689208,0.01,0.468559
44,46,0.694181,0.01,0.468559
44,47,0.699074,0.01,0.468559
44,48,0.700077,0.01,0.468559
44,49,0.704876,0.01,0.468559
44,50,0.705828,0.01,0.468559
44,51,0.710534,0.01,0.468559
44,52,0.715166,0.01,0.468559
44,53,0.715694,0.01,0.468559
44,54,0.720243,0.01,0.468559
44,55,0.720443,0.01,0.468559
44,56,0.724916,0.01,0.468559
44,57,0.729317,0.01,0.468559
44,58,0.733648,0.01,0.468559
44,59,0.733588,0.01,0.468559
44,60,0.737851,0.01,0.468559
44,61,0.737755,0.01,0.468559
44,62,0.737788,0.01,0.468559
44,63,0.741983,0.01,0.468559
44,64,0.746111,0.01,0.468559
44,65,0.746177,0.01,0.468559
44,66,0.741906,0.01,0.468559
44,67,0.746035,0.01,0.468559
44,68,0.750099,0.01,0.468559
44,69,0.749973,0.01,0.468559
44,70,0.753973,0.01,0.468559
44,71,0.75791,0.01,0.468559
44,72,0.757707,0.01,0.468559
44,73,0.753392,0.01,0.468559
44,74,0.757337,0.01,0.468559
44,75,0.76122,0.01,0.468559
44,76,0.760934,0.01,0.468559
44,77,0.76476,0.01,0.468559
44,78,0.768523,0.01,0.468559
44,79,0.772227,0.01,0.468559
44,80,0.775871,0.01,0.468559
44,81,0.775063,0.01,0.468559
44,82,0.778662,0.01,0.468559
44,83,0.782203,0.01,0.468559
44,84,0.785688,0.01,0.468559
44,85,0.789117,0.01,0.468559
44,86,0.792491,0.01,0.468559
44,87,0.795811,0.01,0.468559
44,88,0.799078,0.01,0.468559
44,89,0.802293,0.01,0.468559
44,90,0.801324,0.01,0.468559
44,91,0.804503,0.01,0.468559
44,92,0.807631,0.01,0.468559
44,93,0.806396,0.01,0.468559
44,94,0.809494,0.01,0.468559
44,95,0.808352,0.01,0.468559
44,96,0.811418,0.01,0.468559
44,97,0.814436,0.01,0.468559
44,98,0.813105,0.01,0.468559
44,99,0.816095,0.01,0.468559
44,100,0.819038,0.01,0.468559
44,101,0.817466,0.01,0.468559
44,102,0.820386,0.01,0.468559
44,103,0.82326,0.01,0.468559
44,104,0.821611,0.01,0.468559
44,105,0.824465,0.01,0.468559
44,106,0.827273,0.01,0.468559
44,107,0.830037,0.01,0.468559
44,108,0.832756,0.01,0.468559
44,109,0.835432,0.01,0.468559
44,110,0.838065,0.01,0.468559
44,111,0.840656,0.01,0.468559
44,112,0.838801,0.01,0.468559
44,113,0.84138,0.01,0.468559
44,114,0.843918,0.01,0.468559
44,115,0.846416,0.01,0.468559
44,116,0.844203,0.01,0.468559
44,117,0.842165,0.01,0.468559
44,118,0.844691,0.01,0.468559
44,119,0.847176,0.01,0.468559
44,120,0.84513,0.01,0.468559
44,121,0.842909,0.01,0.468559
44,122,0.840998,0.01,0.468559
44,123,0.843542,0.01,0.468559
44,124,0.841662,0.01,0.468559
44,125,0.83977,0.01,0.468559
44,126,0.837793,0.01,0.468559
44,127,0.840388,0.01,0.468559
44,128,0.833903,0.01,0.468559
44,129,0.836561,0.01,0.468559
44,130,0.839176,0.01,0.468559
44,131,0.841749,0.01,0.468559
44,132,0.844281,0.01,0.468559
44,133,0.846772,0.01,0.468559
44,134,0.849224,0.01,0.468559
44,135,0.851636,0.01,0.468559
44,136,0.84975,0.01,0.468559
44,137,0.852154,0.01,0.468559
44,138,0.850083,0.01,0.468559
44,139,0.852482,0.01,0.468559
44,140,0.854842,0.01,0.468559
44,141,0.857165,0.01,0.468559
44,142,0.85945,0.01,0.468559
44,143,0.861699,0.01,0.468559
44,144,0.859363,0.01,0.468559
44,145,0.861613,0.01,0.468559
44,146,0.859274,0.01,0.468559
44,147,0.861525,0.01,0.468559
44,148,0.863741,0.01,0.468559
44,149,0.856777,0.01,0.468559
44,150,0.859068,0.01,0.468559
44,151,0.861323,0.01,0.468559
44,152,0.863542,0.01,0.468559
44,153,0.856717,0.01,0.468559
44,154,0.854378,0.01,0.468559
44,155,0.856708,0.01,0.468559
44,156,0.859001,0.01,0.468559
44,157,0.856885,0.01,0.468559
44,158,0.854797,0.01,0.468559
44,159,0.852653,0.01,0.468559
44,160,0.85501,0.01,0.468559
44,161,0.852959,0.01,0.468559
44,162,0.855312,0.01,0.468559
44,163,0.857627,0.01,0.468559
44,164,0.855607,0.01,0.468559
44,165,0.857917,0.01,0.468559
44,166,0.860191,0.01,0.468559
44,167,0.857856,0.01,0.468559
44,168,0.860131,0.01,0.468559
44,169,0.858153,0.01,0.468559
44,170,0.851007,0.01,0.468559
44,171,0.848795,0.01,0.468559
44,172,0.846586,0.01,0.468559
44,173,0.839839,0.01,0.468559
44,174,0.842401,0.01,0.468559
44,175,0.844923,0.01,0.468559
44,176,0.847404,0.01,0.468559
44,177,0.849846,0.01,0.468559
44,178,0.852248,0.01,0.468559
44,179,0.849991,0.01,0.468559
44,180,0.852391,0.01,0.468559
44,181,0.850213,0.01,0.468559
44,182,0.848071,0.01,0.468559
44,183,0.850501,0.01,0.468559
44,184,0.84381,0.01,0.468559
44,185,0.846309,0.01,0.468559
44,186,0.848768,0.01,0.468559
44,187,0.84229,0.01,0.468559
44,188,0.844813,0.01,0.468559
44,189,0.847296,0.01,0.468559
44,190,0.844888,0.01,0.468559
44,191,0.842682,0.01,0.468559
44,192,0.831942,0.01,0.468559
44,193,0.834631,0.01,0.468559
44,194,0.837277,0.01,0.468559
44,195,0.83988,0.01,0.468559
44,196,0.842442,0.01,0.468559
44,197,0.844963,0.01,0.468559
44,198,0.842921,0.01,0.468559
44,199,0.845434,0.01,0.468559
44,200,0.847907,0.01,0.468559
45,1,0.50254,0.5056,0.0
45,2,0.508747,0.51183,0.0
45,3,0.515381,0.518465,0.0
45,4,0.522276,0.525346,0.0
45,5,0.529319,0.532365,0.0
45,6,0.536429,0.266182,0.1
45,7,0.543552,0.269062,0.1
45,8,0.547211,0.272154,0.1
45,9,0.554305,0.275378,0.1
45,10,0.557835,0.278677,0.1
45,11,0.56131,0.282011,0.1
45,12,0.568273,0.141005,0.19
45,13,0.575142,0.142339,0.19
45,14,0.581913,0.143774,0.19
45,15,0.588583,0.145272,0.19
45,16,0.595152,0.146807,0.19
45,17,0.597957,0.14836,0.19
45,18,0.600697,0.07418,0.271
45,19,0.607081,0.074789,0.271
45,20,0.613364,0.075449,0.271
45,21,0.619548,0.076142,0.271
45,22,0.621985,0.076854,0.271
45,23,0.628032,0.077575,0.271
45,24,0.630268,0.038788,0.3439
45,25,0.636183,0.039065,0.3439
45,26,0.638159,0.039368,0.3439
45,27,0.640193,0.039689,0.3439
45,28,0.642068,0.040019,0.3439
45,29,0.647794,0.040354,0.3439
45,30,0.649602,0.020177,0.40951
45,31,0.655209,0.020303,0.40951
45,32,0.660725,0.019288,0.40951
45,33,0.662391,0.019444,0.40951
45,34,0.66393,0.019608,0.40951
45,35,0.66549,0.019776,0.40951
45,36,0.670843,0.01,0.468559
45,37,0.676109,0.01,0.468559
45,38,0.677482,0.01,0.468559
45,39,0.678579,0.01,0.468559
45,40,0.683722,0.01,0.468559
45,41,0.688782,0.01,0.468559
45,42,0.689945,0.01,0.468559
45,43,0.694905,0.01,0.468559
45,44,0.695988,0.01,0.468559
45,45,0.696771,0.01,0.468559
45,46,0.701623,0.01,0.468559
45,47,0.702314,0.01,0.468559
45,48,0.707077,0.01,0.468559
45,49,0.707728,0.01,0.468559
45,50,0.708188,0.01,0.468559
45,51,0.712857,0.01,0.468559
45,52,0.713622,0.01,0.468559
45,53,0.718205,0.01,0.468559
45,54,0.718599,0.01,0.468559
45,55,0.723102,0.01,0.468559
45,56,0.727532,0.01,0.468559
45,57,0.731892,0.01,0.468559
45,58,0.732135,0.01,0.468559
45,59,0.736421,0.01,0.468559
45,60,0.740638,0.01,0.468559
45,61,0.740633,0.01,0.468559
45,62,0.744783,0.01,0.468559
45,63,0.740276,0.01,0.468559
45,64,0.73611,0.01,0.468559
45,65,0.740333,0.01,0.468559
45,66,0.732253,0.01,0.468559
45,67,0.728641,0.01,0.468559
45,68,0.728927,0.01,0.468559
45,69,0.733264,0.01,0.468559
45,70,0.729208,0.01,0.468559
45,71,0.733541,0.01,0.468559
45,72,0.737804,0.01,0.468559
45,73,0.738,0.01,0.468559
45,74,0.737937,0.01,0.468559
45,75,0.74213,0.01,0.468559
45,76,0.742341,0.01,0.468559
45,77,0.738683,0.01,0.468559
45,78,0.742864,0.01,0.468559
45,79,0.743268,0.01,0.468559
45,80,0.743076,0.01,0.468559
45,81,0.747187,0.01,0.468559
45,82,0.747298,0.01,0.468559
45,83,0.751342,0.01,0.468559
45,84,0.751484,0.01,0.468559
45,85,0.751244,0.01,0.468559
45,86,0.755224,0.01,0.468559
45,87,0.755075,0.01,0.468559
45,88,0.75522,0.01,0.468559
45,89,0.759137,0.01,0.468559
45,90,0.758631,0.01,0.468559
45,91,0.762493,0.01,0.468559
45,92,0.766293,0.01,0.468559
45,93,0.770032,0.01,0.468559
45,94,0.773712,0.01,0.468559
45,95,0.777332,0.01,0.468559
45,96,0.780895,0.01,0.468559
45,97,0.784401,0.01,0.468559
45,98,0.779446,0.01,0.468559
45,99,0.782975,0.01,0.468559
45,100,0.782449,0.01,0.468559
45,101,0.78593,0.01,0.468559
45,102,0.789355,0.01,0.468559
45,103,0.788333,0.01,0.468559
45,104,0.79172,0.01,0.468559
45,105,0.790806,0.01,0.468559
45,106,0.794153,0.01,0.468559
45,107,0.797447,0.01,0.468559
45,108,0.796151,0.01,0.468559
45,109,0.799412,0.01,0.468559
45,110,0.802622,0.01,0.468559
45,111,0.80578,0.01,0.468559
45,112,0.808887,0.01,0.468559
45,113,0.807537,0.01,0.468559
45,114,0.810616,0.01,0.468559
45,115,0.809438,0.01,0.468559
45,116,0.803277,0.01,0.468559
45,117,0.806425,0.01,0.468559
45,118,0.809522,0.01,0.468559
45,119,0.81257,0.01,0.468559
45,120,0.815569,0.01,0.468559
45,121,0.813979,0.01,0.468559
45,122,0.808194,0.01,0.468559
45,123,0.807035,0.01,0.468559
45,124,0.805745,0.01,0.468559
45,125,0.804431,0.01,0.468559
45,126,0.80756,0.01,0.468559
45,127,0.810639,0.01,0.468559
45,128,0.809429,0.01,0.468559
45,129,0.804203,0.01,0.468559
45,130,0.802654,0.01,0.468559
45,131,0.801533,0.01,0.468559
45,132,0.804708,0.01,0.468559
45,133,0.803502,0.01,0.468559
45,134,0.806646,0.01,0.468559
45,135,0.80974,0.01,0.468559
45,136,0.812784,0.01,0.468559
45,137,0.81578,0.01,0.468559
45,138,0.814503,0.01,0.468559
45,139,0.817471,0.01,0.468559
45,140,0.815762,0.01,0.468559
45,141,0.818709,0.01,0.468559
45,142,0.82161,0.01,0.468559
45,143,0.820034,0.01,0.468559
45,144,0.822914,0.01,0.468559
45,145,0.821571,0.01,0.468559
45,146,0.811214,0.01,0.468559
45,147,0.814234,0.01,0.468559
45,148,0.812565,0.01,0.468559
45,149,0.815564,0.01,0.468559
45,150,0.818515,0.01,0.468559
45,151,0.821419,0.01,0.468559
45,152,0.824276,0.01,0.468559
45,153,0.822427,0.01,0.468559
45,154,0.820921,0.01,0.468559
45,155,0.819382,0.01,0.468559
45,156,0.822272,0.01,0.468559
45,157,0.825115,0.01,0.468559
45,158,0.823698,0.01,0.468559
45,159,0.826519,0.01,0.468559
45,160,0.829295,0.01,0.468559
45,161,0.832026,0.01,0.468559
45,162,0.830146,0.01,0.468559
45,163,0.828271,0.01,0.468559
45,164,0.826666,0.01,0.468559
45,165,0.824936,0.01,0.468559
45,166,0.827738,0.01,0.468559
45,167,0.826126,0.01,0.468559
45,168,0.828908,0.01,0.468559
45,169,0.831645,0.01,0.468559
45,170,0.834339,0.01,0.468559
45,171,0.832311,0.01,0.468559
45,172,0.834994,0.01,0.468559
