k,clusters,s_agg,tau,inner_jobs,agg_jobs,flat_workers,hzka_inner_workers,hzka_agg_workers,hzka_total_workers,worker_ratio_hzka_over_flat,flat_vcpu,hzka_vcpu,flat_memory_gib,hzka_memory_gib,memory_ratio_hzka_over_flat,flat_critical_path_s,hzka_critical_path_s,latency_ratio_hzka_over_flat,incremental_workers,incremental_memory_gib,scenario
25,5,122.536667,120.000000,25,5,12,12,6,18,1.500000,192,288,423.489348,783.489348,1.850080,65.800000,179.986667,2.735360,6,360.000000,measured
50,8,122.536667,120.000000,50,8,24,24,9,33,1.375000,384,528,846.978696,1386.978696,1.637560,75.800000,180.976667,2.387555,9,540.000000,measured
100,10,122.536667,120.000000,100,10,47,47,11,58,1.234043,752,928,1658.666613,2318.666613,1.397910,95.800000,181.646667,1.896103,11,660.000000,measured
150,13,122.536667,120.000000,150,13,70,70,14,84,1.200000,1120,1344,2470.354530,3310.354530,1.340032,115.800000,182.626667,1.577087,14,840.000000,measured
200,15,122.536667,120.000000,200,15,94,94,16,110,1.170213,1504,1760,3317.333226,4277.333226,1.289389,135.800000,183.296667,1.349755,16,960.000000,measured
